stt_bbox,ma_anh,ma_san_pham,ten_san_pham,duong_dan_anh,sha256,url_anh,nhan_goi_y,so_logo_goi_y,trang_thai_bbox,so_bbox,boxes_json,ghi_chu_bbox
52,anh_000130,san_pham_0027,🌸 BỘT SEN QUÊ DINH DƯỠNG,data\du_lieu_logo\anh_goc\san_pham_0027\anh_003_c9ecdcb2.jpg,c9ecdcb273c28fddb3ca0acf3017146c40c99e02e4e29c9ee5d64db9377921a6,https://d134sx875xrex2.cloudfront.net/1E9xDoSLUV_0becd21c-334d-4a59-8790-8c9e39866087.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":1679,""y"":956,""w"":246,""h"":164}]",Bounding box được audit và gán từ ảnh gốc.
53,anh_000131,san_pham_0027,🌸 BỘT SEN QUÊ DINH DƯỠNG,data\du_lieu_logo\anh_goc\san_pham_0027\anh_004_335f85f5.jpg,335f85f55ffca05d5fa7003f17e7e1a032fbd4e4496241af8c3d8d985d5957e5,https://d134sx875xrex2.cloudfront.net/IWfT8hyb0S_1de0880c-7c9d-4d5a-bff8-43211b18e125.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":1372,""y"":1229,""w"":307,""h"":246}]",Bounding box được audit và gán từ ảnh gốc.
54,anh_000132,san_pham_0027,🌸 BỘT SEN QUÊ DINH DƯỠNG,data\du_lieu_logo\anh_goc\san_pham_0027\anh_005_60191263.jpg,601912636d54b787647b32b841a2cce21771ef73a93a3e48480931b97add7a7b,https://d134sx875xrex2.cloudfront.net/T98nyvcng4_94f6f40c-29af-4131-971e-6ec0e9e555eb.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":487,""y"":621,""w"":650,""h"":345}]",Bounding box được audit và gán từ ảnh gốc.
55,anh_000133,san_pham_0028,🌾 BÁNH CỐM GẠO LỨT MÈ QUÊ – GIÒN THƠM TỰ NHIÊN,data\du_lieu_logo\anh_goc\san_pham_0028\anh_001_0604e22a.jpg,0604e22a4eb6895f56a44f623ff06eeb5c56cdc60e4543c5727842415041a3ff,https://d134sx875xrex2.cloudfront.net/pR0f0XOUXQ_1.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":404,""y"":640,""w"":108,""h"":67}]",Bounding box được audit và gán từ ảnh gốc.
56,anh_000136,san_pham_0028,🌾 BÁNH CỐM GẠO LỨT MÈ QUÊ – GIÒN THƠM TỰ NHIÊN,data\du_lieu_logo\anh_goc\san_pham_0028\anh_004_47f7988b.jpg,47f7988b44b6065c14776f4e9ceccd1839c2ca010a41dd37d45423064c669020,https://d134sx875xrex2.cloudfront.net/yBqI4q3llz_4.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":368,""y"":474,""w"":491,""h"":263}]",Bounding box được audit và gán từ ảnh gốc.
57,anh_000139,san_pham_0029,🌾 BÁNH CỐM DINH DƯỠNG MIX HẠT - TRẦN LAN,data\du_lieu_logo\anh_goc\san_pham_0029\anh_001_a7210d0d.jpg,a7210d0d3ed2417244e4db4c1f491d9682f904fc2b6c20c61bf83f5cc416543d,https://d134sx875xrex2.cloudfront.net/uCQaUPhdYK_07c11e1c-465f-4cb3-b27f-0ee0bc4ce672.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":251,""y"":466,""w"":97,""h"":82}]",Bounding box được audit và gán từ ảnh gốc.
58,anh_000155,san_pham_0033,VIÊN UỐNG GIẢI RƯỢU DEAL 101 - NHẬP KHẨU TỪ MỸ,data\du_lieu_logo\anh_goc\san_pham_0033\anh_002_89967e75.jpg,89967e75c89fc3a3613503d1bdd720225a9a7f490becac73b1eeeed6c9df96a4,https://d134sx875xrex2.cloudfront.net/glzQQcCQlt_7b22c790-43eb-4441-bffd-3abdcdfd716e.jpg,fda|gmp,2,da_gan_bbox,2,"[{""label"":""fda"",""x"":640,""y"":1289,""w"":108,""h"":119},{""label"":""gmp"",""x"":755,""y"":1306,""w"":90,""h"":119}]",Bounding box được audit và gán từ ảnh gốc.
59,anh_000157,san_pham_0033,VIÊN UỐNG GIẢI RƯỢU DEAL 101 - NHẬP KHẨU TỪ MỸ,data\du_lieu_logo\anh_goc\san_pham_0033\anh_004_cba20a0e.jpg,cba20a0eea3c51a0b00e88822a913f54a7e0b08331e679c2b51f455bce765df3,https://d134sx875xrex2.cloudfront.net/ZAUAwj8oAU_16e5555a-fffd-44c6-9620-813ad5698d7a.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":992,""y"":26,""w"":155,""h"":158}]",Bounding box được audit và gán từ ảnh gốc.
60,anh_000158,san_pham_0033,VIÊN UỐNG GIẢI RƯỢU DEAL 101 - NHẬP KHẨU TỪ MỸ,data\du_lieu_logo\anh_goc\san_pham_0033\anh_005_f592c8e7.jpg,f592c8e77f5d3c8d134ea7866b1573af91920758753c0b7db3c6db543fc214eb,https://d134sx875xrex2.cloudfront.net/BRFzuRSfBo_7c83f2c0-93aa-40a1-9e9f-69abba7a2acf.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":304,""y"":96,""w"":112,""h"":88}]",Bounding box được audit và gán từ ảnh gốc.
61,anh_000189,san_pham_0045,Sữa hạt đa dưỡng chất Forganic – Trọn vẹn mỗi ngày,data\du_lieu_logo\anh_goc\san_pham_0045\anh_005_d5529bfd.png,d5529bfd798ea976e4d216bd8725ef0f936ce0662dba4c551d21447db53e9e73,https://d134sx875xrex2.cloudfront.net/ISgzIt9kyT_8.png,iso_22000|gmp,2,da_gan_bbox,2,"[{""label"":""iso_22000"",""x"":354,""y"":702,""w"":228,""h"":240},{""label"":""gmp"",""x"":612,""y"":702,""w"":216,""h"":240}]",Bounding box được audit và gán từ ảnh gốc.
62,anh_000191,san_pham_0045,Sữa hạt đa dưỡng chất Forganic – Trọn vẹn mỗi ngày,data\du_lieu_logo\anh_goc\san_pham_0045\anh_007_79578807.jpg,795788074a622584b192bd8d132ba42b916c27010b3e69328520d8373ff04927,https://d134sx875xrex2.cloudfront.net/RTncmrvAQa_SGS%20-%20DDC%20-%20Ki%E1%BB%83m%20nghi%E1%BB%87m%20ATTP%202025_page-0001.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":925,""y"":21,""w"":112,""h"":84}]",Bounding box được audit và gán từ ảnh gốc.
63,anh_000192,san_pham_0045,Sữa hạt đa dưỡng chất Forganic – Trọn vẹn mỗi ngày,data\du_lieu_logo\anh_goc\san_pham_0045\anh_008_400d7378.jpg,400d7378a4cf3b6eedb952eef2ce63694300be032a2342c24a4ebbeafbd40867,https://d134sx875xrex2.cloudfront.net/ZI8tcYtQC2_SGS%20-%20DDC%20-%20Ki%E1%BB%83m%20nghi%E1%BB%87m%20ATTP%202025_page-0003.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":925,""y"":21,""w"":112,""h"":84}]",Bounding box được audit và gán từ ảnh gốc.
64,anh_000193,san_pham_0045,Sữa hạt đa dưỡng chất Forganic – Trọn vẹn mỗi ngày,data\du_lieu_logo\anh_goc\san_pham_0045\anh_009_644eeee0.jpg,644eeee06b3b506731c6c3e8c696e6b9fbdc04c35ec068fdcc4f607c72631e28,https://d134sx875xrex2.cloudfront.net/oPQDmNAdYU_SGS%20-%20DDC%20-%20Ki%E1%BB%83m%20nghi%E1%BB%87m%20ATTP%202025_page-0004.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":925,""y"":21,""w"":112,""h"":84}]",Bounding box được audit và gán từ ảnh gốc.
65,anh_000199,san_pham_0046,Sữa hạt Forganic bữa ăn thay thế – Dinh dưỡng tiện lợi,data\du_lieu_logo\anh_goc\san_pham_0046\anh_006_eff4f678.jpg,eff4f6783bf7834694cf1c75fb0a13c4c68b6a71d1b2c59850e4cbe9f862e086,https://d134sx875xrex2.cloudfront.net/XEWr9jkuXB_SGS%20-%20BATT%20-%20Ki%E1%BB%83m%20nghi%E1%BB%87m%20ATTP%202025_page-0001.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":925,""y"":21,""w"":112,""h"":84}]",Bounding box được audit và gán từ ảnh gốc.
66,anh_000200,san_pham_0046,Sữa hạt Forganic bữa ăn thay thế – Dinh dưỡng tiện lợi,data\du_lieu_logo\anh_goc\san_pham_0046\anh_007_0298852c.jpg,0298852cfdb2d81fd8cc33a6747c5dee480ffa1f645fb3f2b8b6b9959b2ad8b5,https://d134sx875xrex2.cloudfront.net/9Xkli7RCYq_SGS%20-%20BATT%20-%20Ki%E1%BB%83m%20nghi%E1%BB%87m%20ATTP%202025_page-0002.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":925,""y"":21,""w"":112,""h"":84}]",Bounding box được audit và gán từ ảnh gốc.
67,anh_000201,san_pham_0046,Sữa hạt Forganic bữa ăn thay thế – Dinh dưỡng tiện lợi,data\du_lieu_logo\anh_goc\san_pham_0046\anh_008_00f943f1.jpg,00f943f1d483329f6fbdb7dbc14a3f5292b92759686eee6444977efc52d64668,https://d134sx875xrex2.cloudfront.net/hlOHLANKTR_SGS%20-%20BATT%20-%20Ki%E1%BB%83m%20nghi%E1%BB%87m%20ATTP%202025_page-0003.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":925,""y"":21,""w"":112,""h"":84}]",Bounding box được audit và gán từ ảnh gốc.
68,anh_000202,san_pham_0046,Sữa hạt Forganic bữa ăn thay thế – Dinh dưỡng tiện lợi,data\du_lieu_logo\anh_goc\san_pham_0046\anh_009_24f8509e.jpg,24f8509ee91f82f530ec57cb9e538742567292d68bbb8d8fc81f4a23660a6d15,https://d134sx875xrex2.cloudfront.net/0hkSYETnBR_SGS%20-%20BATT%20-%20Ki%E1%BB%83m%20nghi%E1%BB%87m%20ATTP%202025_page-0004.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":925,""y"":21,""w"":112,""h"":84}]",Bounding box được audit và gán từ ảnh gốc.
69,anh_000223,san_pham_0051,Mì sợi rau củ,data\du_lieu_logo\anh_goc\san_pham_0051\anh_004_0c92e8d5.jpg,0c92e8d5d9f84ef9dd06990f2b9e8a618cb3f8f89baf111534b89e14238f4c5f,https://d134sx875xrex2.cloudfront.net/Cf8NxiKBh9_z7862270917688_b29e69037ddd95b7677b2c3fd71bcdea.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":507,""y"":897,""w"":151,""h"":121}]",Bounding box được audit và gán từ ảnh gốc.
70,anh_000224,san_pham_0051,Mì sợi rau củ,data\du_lieu_logo\anh_goc\san_pham_0051\anh_005_7da4df1c.jpg,7da4df1c0b9754aa7967456a66174bf30d4bc95857cc2c7ee2a29efe1d855883,https://d134sx875xrex2.cloudfront.net/YVpW6bOT9t_z7862296134939_03ae5364cb8172acefee5b136e43efb5.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":433,""y"":550,""w"":269,""h"":179}]",Bounding box được audit và gán từ ảnh gốc.
71,anh_000230,san_pham_0052,Bánh hạt dinh dưỡng,data\du_lieu_logo\anh_goc\san_pham_0052\anh_006_aeb09e9f.jpg,aeb09e9f6c330efca84783a8e5de9b43f475b5e151bcc0fe996c6fd9b773023e,https://d134sx875xrex2.cloudfront.net/oAvZzlrHaO_z7862296159631_795538f06a5f87b29de0aafa4de00b7a.jpg,haccp,1,da_gan_bbox,1,"[{""label"":""haccp"",""x"":1454,""y"":602,""w"":273,""h"":243}]",Bounding box được audit và gán từ ảnh gốc.
72,anh_000245,san_pham_0057,Rượu nếp - Can 5L,data\du_lieu_logo\anh_goc\san_pham_0057\anh_003_7187fe7a.jpg,7187fe7a7091bfc4a4e0c7afa57ef15a3ea3591ad5dc18ee3d284106defe42f2,https://d134sx875xrex2.cloudfront.net/kgj99F3tun_%C3%B4cp.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":452,""y"":553,""w"":602,""h"":307}]",Bounding box được audit và gán từ ảnh gốc.
73,anh_000274,san_pham_0064,Viên uống tăng cường sức khỏe Growell,data\du_lieu_logo\anh_goc\san_pham_0064\anh_001_ebd24cf8.jpg,ebd24cf8601e027086c3b3ea2aac0ae2206aedf539275a0a3eb0fe306a9e1621,https://d134sx875xrex2.cloudfront.net/32lnrWXwJk_z7901617992774_5ded9e413e4b4856e7dcf261c5bd03e3.jpg,gmp|khac,2,da_gan_bbox,2,"[{""label"":""gmp"",""x"":225,""y"":370,""w"":37,""h"":46},{""label"":""khac"",""x"":266,""y"":362,""w"":41,""h"":53}]",Bounding box được audit và gán từ ảnh gốc.
74,anh_000275,san_pham_0064,Viên uống tăng cường sức khỏe Growell,data\du_lieu_logo\anh_goc\san_pham_0064\anh_002_986bc7a3.jpg,986bc7a339292dc6c092cb6d0bfe8d585d58b281e104b529291a4c83c88bfeec,https://d134sx875xrex2.cloudfront.net/physhMiUJ3_z7901617992790_8eef8bd08ba4f9bde93bdf83693159a2.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":152,""y"":43,""w"":62,""h"":47}]",Bounding box được audit và gán từ ảnh gốc.
75,anh_000278,san_pham_0065,Viên uống trắng da - mờ nám Xavia Skin,data\du_lieu_logo\anh_goc\san_pham_0065\anh_003_5b150ac1.jpg,5b150ac1aaf600bbfd0b78bc6afa57bf8262cc956b0cf473bc7f0343c5333682,https://d134sx875xrex2.cloudfront.net/GkP5aPfimW_xavia.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":263,""y"":84,""w"":107,""h"":92}]",Bounding box được audit và gán từ ảnh gốc.
76,anh_000280,san_pham_0066,Mì rau củ cầu vòng,data\du_lieu_logo\anh_goc\san_pham_0066\anh_002_0129476e.jpg,0129476e83b4cc9d8954f12ea060077bce8ad9ce30b737f3923ea5f905a91369,https://d134sx875xrex2.cloudfront.net/w7OM0kTeQP_ISO%202200%20%202018%20(1).jpg,iso_22000,1,da_gan_bbox,1,"[{""label"":""iso_22000"",""x"":236,""y"":379,""w"":379,""h"":205}]",Bounding box được audit và gán từ ảnh gốc.
77,anh_000287,san_pham_0069,Cao chè vằng,data\du_lieu_logo\anh_goc\san_pham_0069\anh_003_38b6fe6c.jpg,38b6fe6c889d977387c1a9f1b8fac6c236d01f06dc2ed23c85644ec87238a489,https://d134sx875xrex2.cloudfront.net/0URGCyEJdC_gen-h-z7972768778936_87878fdc530dda3259a7f3eb79a907fb.jpg,iso_22000,1,da_gan_bbox,1,"[{""label"":""iso_22000"",""x"":283,""y"":948,""w"":435,""h"":70}]",Bounding box được audit và gán từ ảnh gốc.
78,anh_000288,san_pham_0069,Cao chè vằng,data\du_lieu_logo\anh_goc\san_pham_0069\anh_004_62df50fd.jpg,62df50fd17305334d6cfb5bc96f5bcf7e6eaf1d913a3c0c022661a36463c0a62,https://d134sx875xrex2.cloudfront.net/yd9La8WLBQ_gen-h-z7972768779139_7dfb2fe0b95c059d3a1f17d7b84b6c8d.jpg,khac,1,da_gan_bbox,2,"[{""label"":""khac"",""x"":94,""y"":219,""w"":282,""h"":245},{""label"":""khac"",""x"":771,""y"":232,""w"":163,""h"":182}]",Bounding box được audit và gán từ ảnh gốc.
79,anh_000289,san_pham_0070,Cao cà gai leo,data\du_lieu_logo\anh_goc\san_pham_0070\anh_001_33a1e887.jpg,33a1e887b45bdbb3c62a1c82f38534cb0df4db1c5651e104a92952dc8e6af782,https://d134sx875xrex2.cloudfront.net/xywipoqhIh_gen-h-z7982792343914_5ab73ddd07fd55dfaa792804d114f530.jpg,ocop,1,da_gan_bbox,3,"[{""label"":""ocop"",""x"":410,""y"":525,""w"":162,""h"":128},{""label"":""ocop"",""x"":1349,""y"":192,""w"":154,""h"":128},{""label"":""ocop"",""x"":1340,""y"":1792,""w"":137,""h"":141}]",Bounding box được audit và gán từ ảnh gốc.
80,anh_000293,san_pham_0071,Cao an xoa,data\du_lieu_logo\anh_goc\san_pham_0071\anh_001_9fb7d64e.jpg,9fb7d64eaa25630661240af56d8a25ae49240bdba4898aa68ca998e060a19413,https://d134sx875xrex2.cloudfront.net/ZQY2YaRsrB_gen-h-z7982792121034_545e3d8438fb56711b38250e536a0976.jpg,ocop,1,da_gan_bbox,2,"[{""label"":""ocop"",""x"":972,""y"":31,""w"":188,""h"":150},{""label"":""ocop"",""x"":884,""y"":320,""w"":88,""h"":75}]",Bounding box được audit và gán từ ảnh gốc.
81,anh_000301,san_pham_0073,Bột sắn dây,data\du_lieu_logo\anh_goc\san_pham_0073\anh_001_69a4cc19.jpg,69a4cc19cbfefdb6719daf3fb5a1587ab97e69e1a99107d621e65f1dc5659e3f,https://d134sx875xrex2.cloudfront.net/0EYCNkHgUE_3%20(4).jpg,ocop,1,khong_co_logo,0,[],Audit bbox: không thấy logo/chứng chỉ tương ứng trong ảnh; sửa nhãn dương tính trước đó.
82,anh_000303,san_pham_0074,Cao hà thủ ô,data\du_lieu_logo\anh_goc\san_pham_0074\anh_001_8d0c6394.jpg,8d0c63943034760d79ab57e76dfea49d61f3e065fc82ac6cdd1f07ec5bc9f7cf,https://d134sx875xrex2.cloudfront.net/6iiD2dqUVJ_gen-h-z7982792760326_6f2c034342b02a5df02e2ce9a3e6acce.jpg,ocop,1,da_gan_bbox,2,"[{""label"":""ocop"",""x"":966,""y"":44,""w"":182,""h"":138},{""label"":""ocop"",""x"":884,""y"":320,""w"":100,""h"":75}]",Bounding box được audit và gán từ ảnh gốc.
83,anh_000307,san_pham_0075,Cao lạc tiên,data\du_lieu_logo\anh_goc\san_pham_0075\anh_001_52c54a08.jpg,52c54a080a5576d4a08f64e742ca0cc68edad2c5953c1f4d758ec28736a42e6e,https://d134sx875xrex2.cloudfront.net/SrLvT5cjwl_gen-h-z7982792145766_d1e490db42fae1b6d428c4c22f16f35b.jpg,ocop,1,da_gan_bbox,2,"[{""label"":""ocop"",""x"":815,""y"":31,""w"":169,""h"":113},{""label"":""ocop"",""x"":527,""y"":345,""w"":100,""h"":75}]",Bounding box được audit và gán từ ảnh gốc.
84,anh_000352,san_pham_0087,Trà xạ đen,data\du_lieu_logo\anh_goc\san_pham_0087\anh_001_5dac4fde.jpg,5dac4fdee768a6d775b39722504d9311ae632ad72003639b4a1c50ac5a4cb5f6,https://d134sx875xrex2.cloudfront.net/8WaEPhCliV_gen-n-z7986915054340_aca7abd9a8b78be08813f2089313d53f.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":74,""y"":499,""w"":32,""h"":46}]",Bounding box được audit và gán từ ảnh gốc.
85,anh_000356,san_pham_0088,Trà lá vằng,data\du_lieu_logo\anh_goc\san_pham_0088\anh_001_82256ebe.jpg,82256ebec46920c76a7b4056d63d6a8f260b7e7f8c66d7570c29b29695c9ebcb,https://d134sx875xrex2.cloudfront.net/mSynHuS2F4_gen-h-z7986917175882_ad051e16e78dd19eb7e80d30db301d52.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":132,""y"":896,""w"":57,""h"":83}]",Bounding box được audit và gán từ ảnh gốc.
86,anh_000371,san_pham_0092,Trà cà gai leo đinh lăng,data\du_lieu_logo\anh_goc\san_pham_0092\anh_001_1c11464d.jpg,1c11464dd9d24184ae99bfeec81cf4c4beb190037f87abec4e348e27070b7866,https://d134sx875xrex2.cloudfront.net/rTyAyNPs7O_gen-h-z7986939467340_d0d8bcc0e6d5a88ea89c4bc57146b8b0.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":134,""y"":896,""w"":58,""h"":83}]",Bounding box được audit và gán từ ảnh gốc.
87,anh_000375,san_pham_0093,Cao hoa nở ngày đất,data\du_lieu_logo\anh_goc\san_pham_0093\anh_001_a1bfb531.jpg,a1bfb53117c41b0304a9d65394bf4dc75bf39144f2f9e54239f5a1303edfc092,https://d134sx875xrex2.cloudfront.net/G5iNb8ba68_gen-h-z7986957594089_6bd5d87898acc659355bc9065a1c700e.jpg,gmp,1,da_gan_bbox,1,"[{""label"":""gmp"",""x"":508,""y"":1185,""w"":63,""h"":63}]",Bounding box được audit và gán từ ảnh gốc.
88,anh_000423,san_pham_0118,Yến Chưng Đông Trùng Hạ Thảo,data\du_lieu_logo\anh_goc\san_pham_0118\anh_002_8e6f3f54.jpg,8e6f3f545dd7f80cc5bf615c13bd68245e85639e0db133fc79c51ee7d39200a2,https://d134sx875xrex2.cloudfront.net/0A4gK3GlKw_z7953322977619_524ffcc3a973dd3e4fd75390258607f0.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":33,""y"":45,""w"":118,""h"":77}]",Bounding box được audit và gán từ ảnh gốc.
89,anh_000424,san_pham_0118,Yến Chưng Đông Trùng Hạ Thảo,data\du_lieu_logo\anh_goc\san_pham_0118\anh_003_458cfef7.jpg,458cfef7da8f726b73a0323827493309a44e3679ed4a4bafd5bf126dbfa09e01,https://d134sx875xrex2.cloudfront.net/O8pPkURFNJ_z7941669854500_067000528fe33a530ab0763dcd68ce80.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":33,""y"":45,""w"":115,""h"":77}]",Bounding box được audit và gán từ ảnh gốc.
90,anh_000437,san_pham_0129,Yến chưng đường ăn kiêng,data\du_lieu_logo\anh_goc\san_pham_0129\anh_002_86762c93.jpg,86762c93a2460fdc8b8fc313bf3108f5f224e0bbe365f4ab12f958f24689e677,https://d134sx875xrex2.cloudfront.net/UtUbE02Nds_z7953326959282_76783d3c4aa4aa23788966c3c8a9c03a.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":33,""y"":45,""w"":118,""h"":77}]",Bounding box được audit và gán từ ảnh gốc.
91,anh_000438,san_pham_0129,Yến chưng đường ăn kiêng,data\du_lieu_logo\anh_goc\san_pham_0129\anh_003_1509e720.jpg,1509e720590e2f826e13c198f3abe31d4321cc3484cd8ba896b1576623012125,https://d134sx875xrex2.cloudfront.net/zLX4pAfFYr_z7941670110239_f90305732b3898191c0b54293be609b6.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":33,""y"":45,""w"":115,""h"":77}]",Bounding box được audit và gán từ ảnh gốc.
92,anh_000450,san_pham_0140,Yến chưng đường phèn,data\du_lieu_logo\anh_goc\san_pham_0140\anh_002_f470faf7.jpg,f470faf72d27f545ecc0bba8c9e1c5c3702ce6085ffde20641b9d177e6c41124,https://d134sx875xrex2.cloudfront.net/sTmfkriUrK_z7953314258207_91aa8dd591d638e26c910f149c3e9c56.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":53,""y"":45,""w"":192,""h"":77}]",Bounding box được audit và gán từ ảnh gốc.
93,anh_000451,san_pham_0140,Yến chưng đường phèn,data\du_lieu_logo\anh_goc\san_pham_0140\anh_003_71023944.jpg,71023944a615eda0731d1b4955ad71f764288136645bca2e566beef281234cab,https://d134sx875xrex2.cloudfront.net/McJc9vKXxM_z7941670346898_162a1020e8f0a9cefc93c402b93da938.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":33,""y"":45,""w"":115,""h"":77}]",Bounding box được audit và gán từ ảnh gốc.
94,anh_000463,san_pham_0151,Yến chưng For Kids,data\du_lieu_logo\anh_goc\san_pham_0151\anh_002_db069546.jpg,db0695463c5deb592b17bdee69feb8cefac8be839d60aea7db047580f79f51c0,https://d134sx875xrex2.cloudfront.net/FhQ5d2cWuo_z7953330140456_a815e7bb5bdd8d19bca12f378cf91494.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":33,""y"":45,""w"":118,""h"":77}]",Bounding box được audit và gán từ ảnh gốc.
95,anh_000464,san_pham_0151,Yến chưng For Kids,data\du_lieu_logo\anh_goc\san_pham_0151\anh_003_9aab06c2.jpg,9aab06c2f2d1f2b553b12149b1702e2bed516930aa2e30d07a9de1f10fdefdb1,https://d134sx875xrex2.cloudfront.net/1sRkBdCFp0_z7941670690989_024e3665316e491c6ef1b37af8bfeb5d.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":33,""y"":45,""w"":115,""h"":77}]",Bounding box được audit và gán từ ảnh gốc.
96,anh_000737,san_pham_0277,TRÀ TÔM NÕN 2,data\du_lieu_logo\anh_goc\san_pham_0277\anh_001_82e295ab.jpg,82e295ab9405287d46fabbb8a11b1c9034eea0049390f59db6209c1ff8221a20,https://d134sx875xrex2.cloudfront.net/SOuRgdyYX0_H%E1%BB%99p%20tr%C3%A0%20t%C3%B4m%20n%C3%B5n%202.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":5430,""y"":523,""w"":390,""h"":236}]",Bounding box được audit và gán từ ảnh gốc.
97,anh_000738,san_pham_0277,TRÀ TÔM NÕN 2,data\du_lieu_logo\anh_goc\san_pham_0277\anh_002_54bc5943.jpg,54bc5943c88b89d93926ebeadcdc2fd89512bbc8ac7ba4e88e44fad48b827231,https://d134sx875xrex2.cloudfront.net/H3KyuKjxGG_33.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":720,""y"":185,""w"":165,""h"":85}]",Bounding box được audit và gán từ ảnh gốc.
98,anh_000739,san_pham_0277,TRÀ TÔM NÕN 2,data\du_lieu_logo\anh_goc\san_pham_0277\anh_003_71847923.jpg,71847923e80504dd4a867f45764afa997b719241275af51e4330005dc6239b5a,https://d134sx875xrex2.cloudfront.net/8egSHtr3Ph_34.jpg,ocop,1,khong_co_logo,0,[],Audit bbox: không thấy logo/chứng chỉ tương ứng trong ảnh; sửa nhãn dương tính trước đó.
99,anh_000740,san_pham_0277,TRÀ TÔM NÕN 2,data\du_lieu_logo\anh_goc\san_pham_0277\anh_004_67b60e04.jpg,67b60e047206d5e2c08de4e3324ae6f76fdf3d858ff33985bcf075228708abe4,https://d134sx875xrex2.cloudfront.net/4ZZnl7FNqT_35.jpg,ocop,1,khong_co_logo,0,[],Audit bbox: không thấy logo/chứng chỉ tương ứng trong ảnh; sửa nhãn dương tính trước đó.
100,anh_000741,san_pham_0277,TRÀ TÔM NÕN 2,data\du_lieu_logo\anh_goc\san_pham_0277\anh_005_792683f8.jpg,792683f85ea649c6ee3201cb1b0e0d126bb11b6198f289b7d79b359061bfc921,https://d134sx875xrex2.cloudfront.net/5odrpTaCUU_36.jpg,ocop,1,khong_co_logo,0,[],Audit bbox: không thấy logo/chứng chỉ tương ứng trong ảnh; sửa nhãn dương tính trước đó.
101,anh_000784,san_pham_0288,Kem đánh răng Trầu Cau Vạn Xuân,data\du_lieu_logo\anh_goc\san_pham_0288\anh_004_70053870.jpg,7005387058ed828f5d1c6889f5bf474e45b89e2085d0c943ca9de99a79547175,https://d134sx875xrex2.cloudfront.net/rvFFzO90Ki_z7962700127557_b9fe69dcbc54dbae8dd0fb03a601eab7.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":265,""y"":35,""w"":80,""h"":65}]",Bounding box được audit và gán từ ảnh gốc.
